title,desc,category,website,email,tel
株式会社 ソリューション・アンド・テクノロジー,人事・経理・総務業務のERPソリューション「WiMS/SaaS」を提供しています。コンサルティングから初期設定支援、運用開始後のアドバイザリーまで一貫した自社体制でSaaS提供を行い、大手企業の多様な働き方・DXを強力にサポートしています。 HRソリューションに加え、同シリーズ内で会計フロント機能もラインナップしておりますので、バックオフィス全体最適化に向けた段階的な機能拡張が可能です。経理業務も含めた業務改革・DX推進に貢献いたします。 1995年の設立以来、人事・会計分野のERP導入コンサルティングを手掛けてきたSOLTYは、業務効率化から全体の最適化へと進化する企業のニーズに、クオリティ重視のソリューションサービスで対応してまいります。,"HR EXPO （人事労務・教育・採用）, 社内申請・ワークフロー, 人事管理システム, 勤怠管理システム, 人事評価システム, 労務管理システム, 会計システム, 経費精算システム, 請求書の電子化",,,
株式会社Mimosa,HR Shorts は、人事/採用向けの動的コンテンツの作成および配信ができるシステムです。 インナーブランディング（エンゲージメント向上、Wellbeing、DX、社内広報、公募等）や、アウターブランディング（採用、社外広報等）において、企業が伝えたい情報をショート動画で魅力的に発信することができる新しいサービスです。 例えば ①「絶対採用したい」と考えるキーマン採用において、 特別な体験・動画コンテンツを簡単に作成することができ、スカウト返信率や内定承諾率向上に寄与します。採用競争力がより一層求められる昨今において、上質な採用体験を実現します。 ②社内の情報階層が深く、発信をなかなか見つけてもらえない＆読み切ってもらえない。。という企業様には、ビジュアルで訴求する、情報伝達の入り口としてショート動画が最適です。 他にも、 スカウト返信率を上げたい／内定承諾率を上げたい／辞退率を下げたい／情報の理解促進に繋げたい／申込み数を上げたい／等。 人事の皆様の取り組みに寄与するようにという思いで、人事/採用経験者が開発したサービスとなります。 ぜひ貴社の人事/採用活動がより良くなるよう、HR Shortsをご活用ください！,"HR EXPO （人事労務・教育・採用）, 福利厚生 EXPO, 総務サービス EXPO, PR EXPO, その他 オフィス向けサービス, BPO（業務代行）サービス, HRテクノロジー, 採用代行・コンサルティング",,,
エデン 株式会社,,HR EXPO （人事労務・教育・採用）,,,
株式会社エフアンドエム,オフィスステーションは、株式会社エフアンドエム（東証スタンダード：4771）が提供するアラカルト型 人事労務クラウドソフトです。株式会社エフアンドエムは「サービスの水道哲学」の実現を目指し、あらゆる事業者のバックオフィス業務を改善することを使命としています。,"HR EXPO （人事労務・教育・採用）, 勤怠管理システム, 労務管理システム, 従業員エンゲージメント",,,
株式会社 FCE,"4600社以上の企業様の人財育成、研修、組織作りの支援をしてきたFCEが提供する社員教育プラットフォーム「Smart Boarding」。 研修・人事コンサルティング会社が提供するからこそのコンサルティングサポートで、eラーニングツールにとどまらず、企業の人事課題、組織課題を解決に導きます。 ﻿昨対160％成長、継続率99％、研修満足度94％、利用者数40,000人突破BOXIL SaaS award　ｅラーニング部門で8部門中5部門で第1位を獲得！ その他、評価制度構築支援、新入社員、管理職層研修など、幅広くご対応が可能です。","HR EXPO （人事労務・教育・採用）, 社員研修サービス, 人材育成コンサルティング",,,
株式会社 M-ITコンサルティング,■コンサルタント業(クライアント企業の事業推進に向けた、組織や人財の改善・育成) 1.リサーチ／調査診断（組織診断、人財診断等）による現状解析 2.コンサルティング／戦略構築、組織構築、人事制度改革等 3.トレーニング（研修）／管理層開発プログラム、キャリア開発プログラム、OJT推進プログラム等,"HR EXPO （人事労務・教育・採用）, 社員研修サービス, 階層別研修, 人材育成コンサルティング, その他 教育・人材育成サービス",,,
株式会社 エルテス,,PR EXPO,,,
株式会社 オトバンク,"「audiobook.jp 法人版」は、ビジネス書や自己啓発書を中心に15,000点以上ものタイトルを全て音声で好きなだけ聴くことができる法人向けのオーディオブック聴き放題プランです。通勤中や家事中、就寝前など、耳のスキマ時間に音声を再生するだけで読書ができるため、学習のハードルがぐっと下がります。 日本の人事部「ＨＲアワード2022」で優秀賞を受賞するなど人材育成のツールとして高く評価され、現在130社以上にご導入いただいています。 当プランでは経営者や人事のおすすめ書籍や、社内報・研修などのオリジナル音源を社員に配信できる「社員専用ブックリスト」のほか、社員のコンテンツ視聴状況を見える化できる「利用状況レポート」など、当プラン限定の機能も提供しています。 さらに、導入企業向けに毎月のセミナー開催や、社員の課題スキルや職種別におすすめ書籍を公開するなど、初心者の利用や継続学習を促すサポートもしています。","HR EXPO （人事労務・教育・採用）, 社員研修サービス, リスキリング支援, デジタル人材育成, その他 教育・人材育成サービス",,,
株式会社 openpage,弊社は、デジタルリクルーティングプラットフォーム「DRP」を提供しています。候補者との緊密なデジタルタッチポイントを設け、面接から内定、入社に至るまでの候補者体験を革新します。 「候補者専用ページ」では、面接のアジェンダや議事録をリアルタイムに共有し、候補者との認識のズレを防ぎます。また、画面共有機能で面接記録を作成し、議事録の作成工数を削減します。 内定後は、「デジタルタスクガイド」で入社手続きをデジタル化し、進捗状況を可視化。マニュアルコンテンツとタスクを連動させ、候補者へのガイダンス工数を削減します。候補者ごとの対応状況やエンゲージメントをリアルタイムで把握し、内定辞退リスクを回避します。 さらに、入社後の教育にも対応。体系的なオンボーディングプログラムをデジタルで提供し、早期戦力化を支援します。 DRPは、候補者体験を重視した選考プロセスを実現し、優秀な人材の獲得と定着を可能にします。,"HR EXPO （人事労務・教育・採用）, 採用管理システム, 採用ツール作成",,,
株式会社 カオナビ,"株式会社カオナビは、社員の個性・才能を発掘し、戦略人事を 加速させるタレントマネジメントシステム「カオナビ」を提供しています。 企業の人材情報をクラウド上で一元管理し、社員の顔や名前、 経験、評価、スキル、才能などの人材情報を可視化することで、 最適な人材配置や抜擢といった戦略的なタレントマネジメントの 実現を支援しております。 現在では3,600社を超える企業・団体にご利用いただき、国内No.1シェアを獲得しています。 タレントマネジメントシステムのリーディングカンパニーとして、 「“はたらく”にテクノロジーを実装し、個の力から社会の仕様を 変える」というパーパスの下、テクノロジーによって一人ひとりの 個性や才能を理解することで、個人のキャリア形成や働き方が 多様化される社会の実現を目指してまいります。 また、労務管理システム「ロウムメイト」や予実管理システム「ヨジツティクス」も新たに提供開始！","HR EXPO （人事労務・教育・採用）, 人事管理システム, 人事評価システム, 労務管理システム, 従業員エンゲージメント向上, 離職防止, 予実管理システム",,,
株式会社 KAKEAI,「あなたがどこで誰と共に生きようとも、あなたの持つ人生の可能性を絶対に毀損させない。」をパーパスに掲げる株式会社KAKEAIは、日本企業で初めて世界のHR テクノロジースタートアップ30社に選出されるなど、“次のHR tech “企業として、新規性や実績を高く評価されています。1on1支援クラウドKakeai（カケアイ）は、2023年3月現在、世界43カ国でご利用いただいており、国内においては、従業員数名の企業から数万人の企業、病院、学校、保育園、介護施設、飲食店等、あらゆる組織、あらゆる職種の皆様へご提供しています。,"HR EXPO （人事労務・教育・採用）, テレワーク・ハイブリッドワーク支援, HRテクノロジー, ピープルアナリティクス, エンゲージメントツール, 従業員エンゲージメント向上",,,
株式会社カケハシ スカイソリューションズ,採用成功支援（新卒・キャリア）、社員戦力化のための研修・教育支援、定着・離職防止サービスをワンストップで提供しています。のべ1万社以上の実績があり、そこで培ったコンサルティング力だけでなく、クリエイティブ、デジタルを組み合わせた独自のソリューション設計に強みがあります。,"HR EXPO （人事労務・教育・採用）, 社員研修サービス, 階層別研修, 人材育成コンサルティング, 採用ツール作成, ハイクラス人材採用, 採用代行・コンサルティング",,,
株式会社ココナラ,株式会社ココナラは、個人が持つスキルや知識を活かしてオンラインでサービスを売り・買いできるスキルマーケット「ココナラ」を運営しています。 さらに、エンジニア・デザイナーなどのテック人材を業務委託で紹介する「ココナラテック」、手間のかかる日常業務や、1人雇うほどではない専門業務などを、フルリモートの優秀なアシスタントにまるっとお任せできる月額制サービス「ココナラアシスト」、ココナラが契約主体となりハイクラス実名クリエイターを紹介する「ココナラプロ」、オーダーメイドの参画方式で経営や各分野の専門人材に依頼・相談できる「ココナラコンサル」の4事業を展開しています。 全ての企業さまが、最適な人材を、最適な方法で活用できるように、あらゆるサービスをご提供しています。,"働き方改革 EXPO, HR EXPO （人事労務・教育・採用）, 会計・財務 EXPO, 法務・コンプライアンス EXPO, 総務サービス EXPO, PR EXPO, 健康経営 EXPO, 名刺作成, BPO（業務代行）サービス, その他 DX・働き方改革関連サービス, 人材派遣, その他 採用サービス, その他 経理・財務・税務サービス, 広報業務支援サービス",,,
株式会社 リーディングマーク,「ミキワメ」とは、①人の性格を明らかにする【適性検査機能】と②心の幸福度（ウェルビーイング）を可視化する【エンゲージメントサーベイ機能】を併せ持つサービスです。 企業ごとで異なる採用の人物像を明らかにし、自社で活躍する人材を見定めることができるツールです。社員の性格データを元とした自社独自の採用基準が作成できるため、候補者のおすすめ度が表示され、採用すべき人材かの判断に役立ちます。,"HR EXPO （人事労務・教育・採用）, 人事管理システム, HRテクノロジー, エンゲージメントツール, 採用管理システム, 健康管理システム",,,
Guidable株式会社,弊社は『外国人採用を当たり前に』をバリューに掲げて、 日本に住む外国人に特化した214カ国23万人が登録する国内最大級の求人サービスを運営しております。 登録者の方は、永住者 / 定住者 / 配偶者の在留資格を中心とした 就労の制限のない方なので、正社員・アルバイトを問わず色々な職種で採用可能です。 外国人採用のプロがサポートさせていただくので、安心してご利用頂けます。 【サービス内容】 ◎求人掲載→登録者23万人の在留外国人に特化した国内最大級の求人媒体に掲載 ◎集客（独自プロモーション）→Facebook広告などで能動的に集客(全国平均応募数15名/月) ◎一次選考→スクリーニングと同時にミスマッチを防げる,"HR EXPO （人事労務・教育・採用）, 外国人雇用サポート",,,
Ｒｅ就活（株式会社学情）,会員数230万人の「20代向け転職サイト6年連続No.1・20代専門転職サイト〈Ｒｅ就活〉」（2019年～2024年 東京商工リサーチ調査 20代向け転職サイト 第1位）や、会員数40万人の「オリコン顧客満足度(R)調査 学生満足度3年連続No.1・スカウト型就職サイト〈あさがくナビ（朝日学情ナビ）〉」（※2022年～2024年 オリコン顧客満足度(R)調査 逆求人型就活サービス 就活支援コンテンツ 第1位）を軸に、業界で唯一20代の採用をトータルにサポートする大手就職・転職情報会社です。 また日本で初めて「合同企業セミナー」を開催し（自社調べ）、合同企業セミナーのトップランナーとして、20代来場数No.1の「20代・30代対象の合同企業セミナー〈転職博〉」（2020年 自社調べ 転職イベントにおける20代来場数 第1位）や、新卒学生対象・合同企業セミナー来場数No.1「合同企業セミナー〈就職博〉」（2023年 東京商工リサーチ調査 新卒学生対象・合同企業セミナー 来場数 第1位）を運営。,"HR EXPO （人事労務・教育・採用）, 採用管理システム, 採用ツール作成, 採用代行・コンサルティング, その他 採用サービス",,,
企業年金連合会,年金給付事業（通算企業年金等）、会員支援事業（政策提言、研修、セミナー、機関紙、書籍、ホームページ作成、事例相談、企業年金管理士資格認定）、私的年金制度普及事業（投資教育サービス、海外調査、企業年金導入支援）、共同運用事業、企業年金プラットフォーム事業、企業年金ネットワーク事業、企業年金スチュワードシップ推進協議会、企業年金向け各種情報提供など,"HR EXPO （人事労務・教育・採用）, 福利厚生 EXPO, その他 教育・人材育成サービス, その他 福利厚生サービス",https://www.pfa.or.jp/,mailto:pfa-edu@pfa.or.jp,
株式会社 キッズスター,キッズスターは「子どもの夢中を育てます」というミッションのもと、子ども向けプロダクトを企画・開発・運営している会社です。 社会体験アプリ「ごっこランド」をはじめ、様々なプロダクトを通じてこれまでに100社以上の企業様のファミリー向けマーケティング・ブランディングを支援してまいりました。 子どもに寄り添ったプロダクトを徹底して作り続けることで、 子ども達が夢中になる体験を創出していきます。 社員一人ひとりがプロダクト愛に溢れており、子どもたちが自分の好きなこと・得意なことを見つけ、将来につながるような流れを作り出すといった想いをもって、日々様々な挑戦をしています。,"PR EXPO, その他 教育・人材育成サービス, 従業員エンゲージメント向上, 従業員エンゲージメント, 広報業務支援サービス",,,
株式会社KiteRa,企業向け規程マネジメントシステム【KiteRa Biz】を提供しております。 KiteRa Bizとは、社内規程の作成・編集・管理・共有・申請の一連のプロセスを統合管理するシステムです。 統合管理することで各プロセスの業務を効率化し、企業のガバナンス向上を実現します。 展示ブースでは実際にKiteRa Bizのデモ画面をご覧いただけます。ぜひお気軽にお立ち寄りください。 株式会社KiteRaはテクノロジーの力で安心して働ける世界を実現し、より豊かな社会を創造することを目指しています。 「安心して働ける」ためには、働き方のルールや仕組みが正しく整っていることが必要です。 私たちはテクノロジーの力で社内規程の作成や運用をカンタンにし、より多くの企業が適切な社内ルールを通じて、企業の、そして働く人の生産性を高めていきます。,"HR EXPO （人事労務・教育・採用）, その他 オフィス向けサービス, その他 DX・働き方改革関連サービス, その他 労務サービス, HRテクノロジー, その他 法務向けサービス",https://kitera-cloud.jp/,,tel:0345002438
KING OF TIME,"株式会社ヒューマンテクノロジーズは「人事生産性をお客様と共に考える。」をコンセプトに2001年創立以来、クラウドコンピューティングをベースとし、業務システムと生体認証技術を融合した製品サービスを提供して参りました。お手持ちのPCとインターネットだけで簡単で高度な勤怠管理を行うクラウド勤怠システム「KING OF TIME」は、勤怠クラウド市場シェアNO.1*の実績を持ち、導入企業数56,000社、利用ID数3,349,000IDを達成（2024年7月時点）。多岐にわたる人事・労務の作業効率化とコスト削減を実現します。*出典：富士キメラ総研「ソフトウェアビジネス新市場 2023年版」勤怠管理ソフトSaaS市場 利用ID数 2022年度実績","HR EXPO （人事労務・教育・採用）, テレワーク・ハイブリッドワーク支援, 人事管理システム, 勤怠管理システム, 給与計算システム, 労務管理システム, その他 労務サービス, その他 セキュリティ製品・サービス",,,
KEYENCE CORP.,キーエンスは1974年の会社設立以来、FA（ファクトリー・オートメーション）用センサをはじめとする高付加価値商品を通じて、生産現場の生産性・品質向上に貢献して参りました。 自動車、半導体、電子・電気機器、通信、機械、化学、薬品、食品など、製造業のあらゆる分野において30万社以上のお客様にお取引いただいております。,"働き方改革 EXPO, HR EXPO （人事労務・教育・採用）, オフィス防災 EXPO, 福利厚生 EXPO, 会計・財務 EXPO, 法務・コンプライアンス EXPO, 総務サービス EXPO, AI・RPA（業務自動化）ツール",,,
株式会社 ギフティ,giftee for BusinessはWebサービス、ゲーム、教育、銀行、クレジットカード、保険、自動車、不動産、人材、携帯通信など、様々な業界でご利用いただいており、累計導入件数は1万件以上にのぼります。 キャンペーンの施策はもちろん、誕生日のお祝いから永年勤続表彰まで幅広いシーンで従業員エンゲージメントを高める福利厚生・ギフト施策をご提供しています。 関連サイト：https://giftee.biz/purposes/employee_benefit/ またユーザー自身が好きな商品を自由にえらべる「giftee Box」では、コンビニやカフェ、ファッションからレジャーまで幅広いシーンのギフトを取り揃えています。 ▼3分でわかる！「giftee for Business」とは https://docs.giftee.biz/business/downloads/gifteeforBusiness_3minutes.pdf ▼ギフト利用目的や業界別に検索できる！実現したいことが見つかる事例サイト https://giftee.biz/cases/ お問い合わせ・ご相談はこちら：https://giftee.zendesk.com/hc/ja/requests/new 公式サイト：https://giftee.biz/,"HR EXPO （人事労務・教育・採用）, 福利厚生 EXPO, 健康経営 EXPO, コーポレートギフト, 従業員エンゲージメント向上, 福利厚生ギフト, 育児・介護支援, エンタメ, 従業員エンゲージメント",,,
株式会社 Techouse,"Techouseは国内1,000万人以上が従事する製造業を中心に、アナログな産業をデジタル化する会社です。現在はトヨタ, ホンダ, デンソーなど国内を代表する企業が利用しており、サービスの利用ユーザーは年間500万人にも上ります。",HR EXPO （人事労務・教育・採用）,,,
glassy　株式会社,glassy株式会社はインナーブランディング活動を中心に戦略提案を行うことで、企業が目指すありたい姿へと導くクリエイティブカンパニーです。下記 3 領域をソリューションとし、クライアント企業のブランド力の最大化とインナーコミュニケーションの活性化をトータルで支援しています。 01) コーポレートブランディング事業・・・付加価値の高い制作ツールの提供（社内報、記念誌、周年誌、カルチャーブック、コーポレートサイト、採用パンフレット など） 02)コミュニケーションTech事業・・・人と組織の間に新しいコミュニケーション機会を提供（WEB社内報システムの開発・提供 など） 03)イベントプロデュース事業・・・ぐっと来る”瞬間”と、大切なものを共有する”空間”の提供（キックオフイベント、社員総会、表彰イベント、周年記念イベント など）,"PR EXPO, 広報業務支援サービス, 社内広報支援サービス",,,
株式会社グローアップ,新卒向けダイレクトリクルーティングシステム『キミスカ』運営,"HR EXPO （人事労務・教育・採用）, その他 採用サービス",,,
株式会社 グロース X,人材育成サービスの「グロースＸ」は、業績向上に繋がるまでを考え抜いて創ったサービスです。 磨きあげた網羅的マーケティングカリキュラムと、チャット形式というユニークなe-ラーニングを筆頭に、学びを実践につなげる体験作りまでを大切に磨き、ワンストップで皆さまに届けています。 今後のビジネス環境においてマーケティングの重要度は上がっていきます。 特定の専門領域にとどまらず、顧客体験全般、ビジネス全般を作るために無くてはならない役割ですが、激動の時代に顧客の変化を素早くつかみ、 仮説検証を回せるかは、将来の成否のカギとなるでしょう。 現場の力がアップすると、必ず業績アップに繋がります。 コンサルティング支援で多くの企業の業績を伸ばしてきた、人材育成、組織作りのノウハウをお届けします。,"HR EXPO （人事労務・教育・採用）, 社員研修サービス, リスキリング支援, 職種別研修, デジタル人材育成",,,
株式会社 グロービス,"株式会社グロービスは、1992年の設立以来、30年以上企業研修に向き合ってきた知見や、国内最大規模のビジネススクール「グロービス経営大学院」の運営によって培ったノウハウをもとに、「GLOBIS 学び放題」や「GLOPLA LMS」などのサービスを展開しています。 「GLOPLA LMS」は、6,700社超の研修実績をもとに設計されたUI/UXで、快適な研修設計と受講体験をお届けする学習管理システム（Learning Management System）です。直感的に操作できるデザインとこだわりぬかれた機能により、集合研修や動画学習、e-Learning などさまざまな研修の一元管理を実現します。グロービスならではの知見を活かし、企業の人事担当者の業務フローに合わせた最適な研修運用・導入計画のサポートを提供。これにより、研修を企画・運営する人事担当者は、従来、研修運営のオペレーション業務に使っていた時間を大幅に削減することができます。また、研修を受講する社員は、スマートフォンやタブレットなどデバイスを問わずアクセスすることができ、いつでも快適に学習することが可能です。","HR EXPO （人事労務・教育・採用）, 人事管理システム, HRテクノロジー, 社員研修サービス, その他 教育・人材育成サービス",,,
株式会社 ケイズコーポレーション,■ケイズのサービス 最新のクラウド技術を利用した各種アプリケーションサービスを、提案から稼働後のご支援まで、システムの入口から出口まで、お客様のニーズに合わせたサービスを提供しております。 スピード重視の簡易導入から、大規模な開発を要する複雑なご要件、稼働後の活用向上など、まずはお気軽にお声がけください。 ■Salesforce導入支援 ＜将来も陳腐化しない業務システムを＞ Salesforce® が世界中で採用されている理由。 それはビジネス環境やIT環境の変化にすばやく対応できる柔軟性にあります。 当社ではコンサルティングから運用保守までのワンストップ体制を活かし、 お客様からの改善要求や機能追加のご要望に対応。ご希望であれば改善提案もおこない、システムのさらなる強化を図ります。,"HR EXPO （人事労務・教育・採用）, その他 DX・働き方改革関連サービス, 人事管理システム, 人事評価システム, HRテクノロジー, ピープルアナリティクス, 採用管理システム, 離職防止",,,
株式会社 コングレ・グローバルコミュニケーションズ,当社は、MICE業界のリーディングカンパニー、株式会社コングレのグループ会社です。 ISO基準に適合した安心の品質体制と、熟練したコーディネーターによる迅速で細やかな対応が特長の翻訳サービス。 高度な通訳スキルときめ細かなアレンジ力で「コトバ」をつなぐをモットーに数多くの国際舞台や多様なビジネスシーンにおいて、通訳のサービスを提供してきた通訳サービス。 イベント対応のエキスパートが、説明会やイベントの会場手配から企画立案、運用・運営までを一手に引き受け、ライブ配信や動画配信、オンライン・オフラインを問わず、イベント対応をトータルサポートするイベントサービス。 各サービスをシームレスにお客様とつなぎ、みなさまのプロジェクトの成功をサポートします。,"PR EXPO, グローバル人材育成・採用, 人材派遣, 従業員エンゲージメント, 広報業務支援サービス, 社内広報支援サービス, IR支援サービス",,,
三協立山 株式会社,三協立山は植物工場プラントメーカーとして、業界トップの生産能力を持った栽培設備と圧倒的な栽培技術力、衛生管理や生産管理などの工場運営ノウハウ、ネットワークを活かした販路紹介で、不採算要因を取り除いた植物工場運営を支援しています。合わせて、誰もが働きやすい職場づくり、障がい者雇用、ストレス軽減の観点から癒しの場として、小型水耕栽培ユニットも提案しています。,"HR EXPO （人事労務・教育・採用）, 障がい者雇用",,,
